Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Manipulation: undefined
1,1725908733901,09/09/2024 19:05:33,1725894333901,-4,09/09/2024 11:05:33,187004,3,task-efz1,,39967004,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1912x922,,,0,Study Welcome,13,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908751332,09/09/2024 19:05:51,1725894351332,-4,09/09/2024 11:05:51,187004,3,task-efz1,,39967004,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1912x922,,,0,Study Welcome,13,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,17447.500000023843,17432.800000000003,17447.500000023843,17447.500000023843,17432.800000000003,17447.500000023843,1,17447.500000023843,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908751334,09/09/2024 19:05:51,1725894351334,-4,09/09/2024 11:05:51,187004,3,task-efz1,,39967004,BLIND,11682053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1920x1080,1912x922,,,0,Study Welcome,13,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908747136,09/09/2024 19:05:47,1725894347136,-4,09/09/2024 11:05:47,187004,3,task-efz1,,39967005,BLIND,11682054,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 129.0,1920x1080,1290x790,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908788060,09/09/2024 19:06:28,1725894388060,-4,09/09/2024 11:06:28,187004,3,task-efz1,,39967005,BLIND,11682054,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 129.0,1920x1080,1290x790,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,40928,40921.48,40928,40928,40921.48,40928,1,40928,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908788062,09/09/2024 19:06:28,1725894388062,-4,09/09/2024 11:06:28,187004,3,task-efz1,,39967005,BLIND,11682054,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 129.0,1920x1080,1290x790,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908755868,09/09/2024 19:05:55,1725883555868,-7,09/09/2024 05:05:55,187004,3,task-efz1,,39967009,BLIND,11682057,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,2560x1440,2560x1305,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908760627,09/09/2024 19:06:00,1725883560627,-7,09/09/2024 05:06:00,187004,3,task-efz1,,39967009,BLIND,11682057,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,2560x1440,2560x1305,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,4769.1,4764,4769.1,4769.1,4764,4769.1,1,4769.1,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908760628,09/09/2024 19:06:00,1725883560628,-7,09/09/2024 05:06:00,187004,3,task-efz1,,39967009,BLIND,11682057,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,2560x1440,2560x1305,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908760373,09/09/2024 19:06:00,1725894360373,-4,09/09/2024 11:06:00,187004,3,task-efz1,,39967013,BLIND,11682060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,2049x898,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908777552,09/09/2024 19:06:17,1725894377552,-4,09/09/2024 11:06:17,187004,3,task-efz1,,39967013,BLIND,11682060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x599,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,17194.500000023843,17181.2,17194.500000023843,17194.500000023843,17181.2,17194.500000023843,1,17194.500000023843,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908777563,09/09/2024 19:06:17,1725894377563,-4,09/09/2024 11:06:17,187004,3,task-efz1,,39967013,BLIND,11682060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x599,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908759941,09/09/2024 19:05:59,1725890759941,-5,09/09/2024 09:05:59,187004,3,task-efz1,,39967014,BLIND,11682061,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x695,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908769877,09/09/2024 19:06:09,1725890769877,-5,09/09/2024 09:06:09,187004,3,task-efz1,,39967014,BLIND,11682061,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x695,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,14041.700000047684,14039.6,14041.700000047684,14041.700000047684,14039.6,14041.700000047684,1,14041.700000047684,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908769879,09/09/2024 19:06:09,1725890769879,-5,09/09/2024 09:06:09,187004,3,task-efz1,,39967014,BLIND,11682061,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x695,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908760895,09/09/2024 19:06:00,1725894360895,-4,09/09/2024 11:06:00,187004,3,task-efz1,,39967015,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,2560x1664,2048x1108,,,0,Study Welcome,13,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908784860,09/09/2024 19:06:24,1725894384860,-4,09/09/2024 11:06:24,187004,3,task-efz1,,39967015,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,2560x1664,2048x1108,,,0,Study Welcome,13,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,23981.89199999963,23966.692000000003,23981.89199999963,23981.89199999963,23966.692000000003,23981.89199999963,1,23981.89199999963,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908784863,09/09/2024 19:06:24,1725894384863,-4,09/09/2024 11:06:24,187004,3,task-efz1,,39967015,BLIND,11682062,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,2560x1664,2048x1108,,,0,Study Welcome,13,Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908764898,09/09/2024 19:06:04,1725894364898,-4,09/09/2024 11:06:04,187004,3,task-efz1,,39967017,BLIND,11682063,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 128.0.0.0,360x803,980x1843,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908775503,09/09/2024 19:06:15,1725894375503,-4,09/09/2024 11:06:15,187004,3,task-efz1,,39967017,BLIND,11682063,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 128.0.0.0,360x803,980x1843,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,10626.199999999999,10609.5,10626.199999999999,10626.199999999999,10609.5,10626.199999999999,1,10626.199999999999,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908775510,09/09/2024 19:06:15,1725894375510,-4,09/09/2024 11:06:15,187004,3,task-efz1,,39967017,BLIND,11682063,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 128.0.0.0,360x803,980x1843,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908767494,09/09/2024 19:06:07,1725894367494,-4,09/09/2024 11:06:07,187004,3,task-efz1,,39967018,BLIND,11682065,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x778,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908770679,09/09/2024 19:06:10,1725894370679,-4,09/09/2024 11:06:10,187004,3,task-efz1,,39967018,BLIND,11682065,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x778,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,3198.1000000000013,3182.4000000000005,3198.1000000000013,3198.1000000000013,3182.4000000000005,3198.1000000000013,1,3198.1000000000013,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908770683,09/09/2024 19:06:10,1725894370683,-4,09/09/2024 11:06:10,187004,3,task-efz1,,39967018,BLIND,11682065,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x778,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908768739,09/09/2024 19:06:08,1725890768739,-5,09/09/2024 09:06:08,187004,3,task-efz1,,39967020,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908795245,09/09/2024 19:06:35,1725890795245,-5,09/09/2024 09:06:35,187004,3,task-efz1,,39967020,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,26526.7,26510.2,26526.7,26526.7,26510.2,26526.7,1,26526.7,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908795249,09/09/2024 19:06:35,1725890795249,-5,09/09/2024 09:06:35,187004,3,task-efz1,,39967020,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
