Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Manipulation: undefined
1,1725908769583,09/09/2024 19:06:09,1725894369583,-4,09/09/2024 11:06:09,187004,3,task-efz1,,39967021,BLIND,11682067,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x703,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908773920,09/09/2024 19:06:13,1725894373920,-4,09/09/2024 11:06:13,187004,3,task-efz1,,39967021,BLIND,11682067,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x703,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,4360.699999904633,4350.200000000001,4360.699999904633,4360.699999904633,4350.200000000001,4360.699999904633,1,4360.699999904633,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908773923,09/09/2024 19:06:13,1725894373923,-4,09/09/2024 11:06:13,187004,3,task-efz1,,39967021,BLIND,11682067,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x703,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908803222,09/09/2024 19:06:43,1725894403222,-4,09/09/2024 11:06:43,187004,3,task-efz1,,39967045,BLIND,11682072,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1407x733,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908818256,09/09/2024 19:06:58,1725894418256,-4,09/09/2024 11:06:58,187004,3,task-efz1,,39967045,BLIND,11682072,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1407x733,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,15050.5,15041,15050.5,15050.5,15041,15050.5,1,15050.5,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908818260,09/09/2024 19:06:58,1725894418260,-4,09/09/2024 11:06:58,187004,3,task-efz1,,39967045,BLIND,11682072,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1407x733,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908811216,09/09/2024 19:06:51,1725894411216,-4,09/09/2024 11:06:51,187004,3,task-efz1,,39967048,BLIND,11682073,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x599,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908832060,09/09/2024 19:07:12,1725894432060,-4,09/09/2024 11:07:12,187004,3,task-efz1,,39967048,BLIND,11682073,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x599,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,20895.001999999997,20878.302,20895.001999999997,20895.001999999997,20878.302,20895.001999999997,1,20895.001999999997,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908832070,09/09/2024 19:07:12,1725894432070,-4,09/09/2024 11:07:12,187004,3,task-efz1,,39967048,BLIND,11682073,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 126.0.0.0,1366x768,1366x599,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908834611,09/09/2024 19:07:14,1725894434611,-4,09/09/2024 11:07:14,187004,3,task-efz1,,39967064,BLIND,11682075,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x953,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908851210,09/09/2024 19:07:31,1725894451210,-4,09/09/2024 11:07:31,187004,3,task-efz1,,39967064,BLIND,11682075,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x953,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,20058.800000190735,20044.1,20058.800000190735,20058.800000190735,20044.1,20058.800000190735,1,20058.800000190735,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908851214,09/09/2024 19:07:31,1725894451214,-4,09/09/2024 11:07:31,187004,3,task-efz1,,39967064,BLIND,11682075,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x953,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908917915,09/09/2024 19:08:37,1725890917915,-5,09/09/2024 09:08:37,187004,3,task-efz1,,39967090,BLIND,11682076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1366x768,908x821,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725909001374,09/09/2024 19:10:01,1725891001374,-5,09/09/2024 09:10:01,187004,3,task-efz1,,39967090,BLIND,11682076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1366x768,908x821,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,83487.59999999999,83471,83487.59999999999,83487.59999999999,83471,83487.59999999999,1,83487.59999999999,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725909001381,09/09/2024 19:10:01,1725891001381,-5,09/09/2024 09:10:01,187004,3,task-efz1,,39967090,BLIND,11682076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1366x768,908x821,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
4,1725909049584,09/09/2024 19:10:49,1725891049584,-5,09/09/2024 09:10:49,187004,3,task-efz1,,39967090,BLIND,11682076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1366x768,908x821,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
5,1725909049587,09/09/2024 19:10:49,1725891049587,-5,09/09/2024 09:10:49,187004,3,task-efz1,,39967090,BLIND,11682076,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1366x768,908x821,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908976140,09/09/2024 19:09:36,1725894576140,-4,09/09/2024 11:09:36,187004,3,task-efz1,,39967132,BLIND,11682081,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128,768x1024,1024x653,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725908979860,09/09/2024 19:09:39,1725894579860,-4,09/09/2024 11:09:39,187004,3,task-efz1,,39967132,BLIND,11682081,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128,768x1024,1024x653,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,3709,3692,3709,3709,3692,3709,1,3709,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725908979865,09/09/2024 19:09:39,1725894579865,-4,09/09/2024 11:09:39,187004,3,task-efz1,,39967132,BLIND,11682081,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128,768x1024,1024x653,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725908988752,09/09/2024 19:09:48,1725883788752,-7,09/09/2024 05:09:48,187004,3,task-efz1,,39967134,BLIND,11682083,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1440x900,1309x650,,,0,Study Welcome,13,Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725909082107,09/09/2024 19:11:22,1725883882107,-7,09/09/2024 05:11:22,187004,3,task-efz1,,39967134,BLIND,11682083,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1440x900,1309x650,,,0,Study Welcome,13,Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,93389.84399999998,93373.24399999999,93389.84399999998,93389.84399999998,93373.24399999999,93389.84399999998,1,93389.84399999998,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725909082109,09/09/2024 19:11:22,1725883882109,-7,09/09/2024 05:11:22,187004,3,task-efz1,,39967134,BLIND,11682083,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1440x900,1309x650,,,0,Study Welcome,13,Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725909021939,09/09/2024 19:10:21,1725891021939,-5,09/09/2024 09:10:21,187004,3,task-efz1,,39967150,BLIND,11682085,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x585,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725909048294,09/09/2024 19:10:48,1725891048294,-5,09/09/2024 09:10:48,187004,3,task-efz1,,39967150,BLIND,11682085,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x585,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,26371.296000095368,26361.296000000002,26371.296000095368,26371.296000095368,26361.296000000002,26371.296000095368,1,26371.296000095368,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725909048298,09/09/2024 19:10:48,1725891048298,-5,09/09/2024 09:10:48,187004,3,task-efz1,,39967150,BLIND,11682085,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x585,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725909222124,09/09/2024 19:13:42,1725884022124,-7,09/09/2024 05:13:42,187004,3,task-efz1,,39967222,BLIND,11682102,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x1024,1168x552,,,0,Study Welcome,13,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725909370487,09/09/2024 19:16:10,1725884170487,-7,09/09/2024 05:16:10,187004,3,task-efz1,,39967222,BLIND,11682102,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x1024,1168x552,,,0,Study Welcome,13,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,148374.99999999997,148343.8,148374.99999999997,148374.99999999997,148343.8,148374.99999999997,1,148374.99999999997,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725909370491,09/09/2024 19:16:10,1725884170491,-7,09/09/2024 05:16:10,187004,3,task-efz1,,39967222,BLIND,11682102,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x1024,1168x552,,,0,Study Welcome,13,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725910582485,09/09/2024 19:36:22,1725896182485,-4,09/09/2024 11:36:22,187004,3,task-efz1,,39967545,BLIND,11682176,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1680x1050,1692x912,,,0,Study Welcome,13,Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725910586518,09/09/2024 19:36:26,1725896186518,-4,09/09/2024 11:36:26,187004,3,task-efz1,,39967545,BLIND,11682176,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1680x1050,1692x912,,,0,Study Welcome,13,Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,4045.3,4032.9000000000005,4045.3,4045.3,4032.9000000000005,4045.3,1,4045.3,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725910586520,09/09/2024 19:36:26,1725896186520,-4,09/09/2024 11:36:26,187004,3,task-efz1,,39967545,BLIND,11682176,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1680x1050,1692x912,,,0,Study Welcome,13,Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
END OF FILE
