Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1725475937638,04/09/2024 18:52:17,1725454337638,-6,04/09/2024 06:52:17,187932,2,task-i3u4,repeat-tj2w#1,39883495,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (instr only),5,Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725475940577,04/09/2024 18:52:20,1725454340577,-6,04/09/2024 06:52:20,187932,2,task-i3u4,repeat-tj2w#1,39883495,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (instr only),5,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,2327.30000000596,2314,2327.30000000596,2327.30000000596,2314,2327.30000000596,1,2327.30000000596,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1725475952424,04/09/2024 18:52:32,1725454352424,-6,04/09/2024 06:52:32,187932,2,task-i3u4,repeat-tj2w#1,39883495,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (instr only),5,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,11860.4,11853.6,11860.4,11860.4,11853.6,11860.4,1,11860.4,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1725475969102,04/09/2024 18:52:49,1725454369102,-6,04/09/2024 06:52:49,187932,2,task-i3u4,repeat-tj2w#1,39883495,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (instr only),5,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,16684.49999998808,16681.600000000002,16684.49999998808,16684.49999998808,16681.600000000002,16684.49999998808,1,16684.49999998808,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1725475985636,04/09/2024 18:53:05,1725454385636,-6,04/09/2024 06:53:05,187932,2,task-i3u4,repeat-tj2w#1,39883495,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (instr only),5,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,16537.199999999997,16531.799999999996,16537.199999999997,16537.199999999997,16531.799999999996,16537.199999999997,1,16537.199999999997,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1725476003714,04/09/2024 18:53:23,1725454403714,-6,04/09/2024 06:53:23,187932,2,task-i3u4,repeat-tj2w#1,39883495,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (instr only),5,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,18083.99999999404,18080.299999999996,18083.99999999404,18083.99999999404,18080.299999999996,18083.99999999404,1,18083.99999999404,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1725476003718,04/09/2024 18:53:23,1725454403718,-6,04/09/2024 06:53:23,187932,2,task-i3u4,repeat-tj2w#1,39883495,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (instr only),5,Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1725476382318,04/09/2024 18:59:42,1725461982318,-4,04/09/2024 10:59:42,187932,2,task-i3u4,repeat-tj2w#1,39883563,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725476390435,04/09/2024 18:59:50,1725461990435,-4,04/09/2024 10:59:50,187932,2,task-i3u4,repeat-tj2w#1,39883563,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,7878.299999952316,7864,7878.299999952316,7878.299999952316,7864,7878.299999952316,1,7878.299999952316,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1725476398969,04/09/2024 18:59:58,1725461998969,-4,04/09/2024 10:59:58,187932,2,task-i3u4,repeat-tj2w#1,39883563,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,8549.5,8547.099999999999,8549.5,8549.5,8547.099999999999,8549.5,1,8549.5,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1725476400703,04/09/2024 19:00:00,1725462000703,-4,04/09/2024 11:00:00,187932,2,task-i3u4,repeat-tj2w#1,39883563,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,1735.7999999761596,1732.9000000000015,1735.7999999761596,1735.7999999761596,1732.9000000000015,1735.7999999761596,1,1735.7999999761596,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1725476408496,04/09/2024 19:00:08,1725462008496,-4,04/09/2024 11:00:08,187932,2,task-i3u4,repeat-tj2w#1,39883563,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,7796.699999928474,7780.5999999999985,7796.699999928474,7796.699999928474,7780.5999999999985,7796.699999928474,1,7796.699999928474,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1725476429740,04/09/2024 19:00:29,1725462029740,-4,04/09/2024 11:00:29,187932,2,task-i3u4,repeat-tj2w#1,39883563,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,21258.999999904634,21242.800000000003,21258.999999904634,21258.999999904634,21242.800000000003,21258.999999904634,1,21258.999999904634,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1725476429749,04/09/2024 19:00:29,1725462029749,-4,04/09/2024 11:00:29,187932,2,task-i3u4,repeat-tj2w#1,39883563,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1725476494043,04/09/2024 19:01:34,1725462094043,-4,04/09/2024 11:01:34,187932,2,task-i3u4,repeat-tj2w#2,39883586,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725476496097,04/09/2024 19:01:36,1725462096097,-4,04/09/2024 11:01:36,187932,2,task-i3u4,repeat-tj2w#2,39883586,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,1923.6,1916.1,1923.6,1923.6,1916.1,1923.6,1,1923.6,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1725476499335,04/09/2024 19:01:39,1725462099335,-4,04/09/2024 11:01:39,187932,2,task-i3u4,repeat-tj2w#2,39883586,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,3245.6999999284744,3232.2,3245.6999999284744,3245.6999999284744,3232.2,3245.6999999284744,1,3245.6999999284744,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1725476500276,04/09/2024 19:01:40,1725462100276,-4,04/09/2024 11:01:40,187932,2,task-i3u4,repeat-tj2w#2,39883586,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,954.8999999046328,949.6999999999998,954.8999999046328,954.8999999046328,949.6999999999998,954.8999999046328,1,954.8999999046328,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1725476502438,04/09/2024 19:01:42,1725462102438,-4,04/09/2024 11:01:42,187932,2,task-i3u4,repeat-tj2w#2,39883586,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,2166.300000000001,2149.7000000000007,2166.300000000001,2166.300000000001,2149.7000000000007,2166.300000000001,1,2166.300000000001,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1725476503631,04/09/2024 19:01:43,1725462103631,-4,04/09/2024 11:01:43,187932,2,task-i3u4,repeat-tj2w#2,39883586,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,1209.9999999046322,1199.199999999999,1209.9999999046322,1209.9999999046322,1199.199999999999,1209.9999999046322,1,1209.9999999046322,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1725476503637,04/09/2024 19:01:43,1725462103637,-4,04/09/2024 11:01:43,187932,2,task-i3u4,repeat-tj2w#2,39883586,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
END OF FILE
