Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1725476009781,04/09/2024 18:53:29,1725454409781,-6,04/09/2024 06:53:29,187932,2,task-xcgh,repeat-tj2w#1,39883502,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Practice Clone,7,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1725476017060,04/09/2024 18:53:37,1725454417060,-6,04/09/2024 06:53:37,187932,2,task-xcgh,repeat-tj2w#1,39883502,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Practice Clone,7,Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,7283.277999988079,7272.377999999999,7283.277999988079,7283.277999988079,7272.377999999999,7283.277999988079,1,7283.277999988079,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1725476020053,04/09/2024 18:53:40,1725454420053,-6,04/09/2024 06:53:40,187932,2,task-xcgh,repeat-tj2w#1,39883502,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Practice Clone,7,Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3007.2999999940403,2996.7000000000007,3007.2999999940403,3007.2999999940403,2996.7000000000007,3007.2999999940403,1,3007.2999999940403,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1725476041708,04/09/2024 18:54:01,1725454441708,-6,04/09/2024 06:54:01,187932,2,task-xcgh,repeat-tj2w#1,39883502,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Practice Clone,7,Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,21665.40000000596,21659.6,21665.40000000596,21665.40000000596,21659.6,21665.40000000596,1,21665.40000000596,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1725476050765,04/09/2024 18:54:10,1725454450765,-6,04/09/2024 06:54:10,187932,2,task-xcgh,repeat-tj2w#1,39883502,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Practice Clone,7,Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,8063.100000011924,8057.700000000004,8063.100000011924,8063.100000011924,8057.700000000004,8063.100000011924,1,8063.100000011924,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1725476063082,04/09/2024 18:54:23,1725454463082,-6,04/09/2024 06:54:23,187932,2,task-xcgh,repeat-tj2w#1,39883502,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Practice Clone,7,Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,11323.800000011921,11321,11323.800000011921,11323.800000011921,11321,11323.800000011921,1,11323.800000011921,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,3,3
7,1725476064080,04/09/2024 18:54:24,1725454464080,-6,04/09/2024 06:54:24,187932,2,task-xcgh,repeat-tj2w#1,39883502,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Practice Clone,7,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1725476433518,04/09/2024 19:00:33,1725462033518,-4,04/09/2024 11:00:33,187932,2,task-xcgh,repeat-tj2w#1,39883572,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1725476436457,04/09/2024 19:00:36,1725462036457,-4,04/09/2024 11:00:36,187932,2,task-xcgh,repeat-tj2w#1,39883572,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,2948.5740000000005,2931.974,2948.5740000000005,2948.5740000000005,2931.974,2948.5740000000005,1,2948.5740000000005,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1725476439437,04/09/2024 19:00:39,1725462039437,-4,04/09/2024 11:00:39,187932,2,task-xcgh,repeat-tj2w#1,39883572,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,2999.7000000476837,2999.1000000000004,2999.7000000476837,2999.7000000476837,2999.1000000000004,2999.7000000476837,1,2999.7000000476837,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1725476459764,04/09/2024 19:00:59,1725462059764,-4,04/09/2024 11:00:59,187932,2,task-xcgh,repeat-tj2w#1,39883572,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,20326.000000023843,20309.800000000003,20326.000000023843,20326.000000023843,20309.800000000003,20326.000000023843,1,20326.000000023843,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1725476466524,04/09/2024 19:01:06,1725462066524,-4,04/09/2024 11:01:06,187932,2,task-xcgh,repeat-tj2w#1,39883572,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,5776.600000023842,5764.9000000000015,5776.600000023842,5776.600000023842,5764.9000000000015,5776.600000023842,1,5776.600000023842,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1725476482513,04/09/2024 19:01:22,1725462082513,-4,04/09/2024 11:01:22,187932,2,task-xcgh,repeat-tj2w#1,39883572,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,4,14990.099999999999,14978.299999999996,14990.099999999999,14990.099999999999,14978.299999999996,14990.099999999999,0,14990.099999999999,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,3
7,1725476483490,04/09/2024 19:01:23,1725462083490,-4,04/09/2024 11:01:23,187932,2,task-xcgh,repeat-tj2w#1,39883572,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1725476507462,04/09/2024 19:01:47,1725462107462,-4,04/09/2024 11:01:47,187932,2,task-xcgh,repeat-tj2w#2,39883587,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1725476526997,04/09/2024 19:02:06,1725462126997,-4,04/09/2024 11:02:06,187932,2,task-xcgh,repeat-tj2w#2,39883587,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,19560.106000047683,19554.806,19560.106000047683,19560.106000047683,19554.806,19560.106000047683,1,19560.106000047683,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1725476529990,04/09/2024 19:02:09,1725462129990,-4,04/09/2024 11:02:09,187932,2,task-xcgh,repeat-tj2w#2,39883587,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,2999.7000000238404,2998.899999999998,2999.7000000238404,2999.7000000238404,2998.899999999998,2999.7000000238404,1,2999.7000000238404,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1725476532269,04/09/2024 19:02:12,1725462132269,-4,04/09/2024 11:02:12,187932,2,task-xcgh,repeat-tj2w#2,39883587,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,2277.999999952317,2265.9000000000015,2277.999999952317,2277.999999952317,2265.9000000000015,2277.999999952317,1,2277.999999952317,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1725476536652,04/09/2024 19:02:16,1725462136652,-4,04/09/2024 11:02:16,187932,2,task-xcgh,repeat-tj2w#2,39883587,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,3394.9999999761567,3382.7999999999993,3394.9999999761567,3394.9999999761567,3382.7999999999993,3394.9999999761567,1,3394.9999999761567,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1725476544170,04/09/2024 19:02:24,1725462144170,-4,04/09/2024 11:02:24,187932,2,task-xcgh,repeat-tj2w#2,39883587,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,6531.799999999999,6514.799999999999,6531.799999999999,6531.799999999999,6514.799999999999,6531.799999999999,1,6531.799999999999,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,3,3
7,1725476545153,04/09/2024 19:02:25,1725462145153,-4,04/09/2024 11:02:25,187932,2,task-xcgh,repeat-tj2w#2,39883587,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Memory Practice Clone,7,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
END OF FILE
